,S0,S1,S2,S3,AVG
0,453.0,419.0,185.0,175.0,308.0
1,452.0,419.0,185.0,175.0,307.0
2,452.0,419.0,186.0,175.0,308.0
3,452.0,419.0,185.0,176.0,308.0
4,452.0,420.0,186.0,176.0,308.0
5,453.0,420.0,184.0,171.0,307.0
6,451.0,420.0,183.0,174.0,307.0
7,450.0,420.0,183.0,174.0,306.0
8,450.0,420.0,182.0,175.0,306.0
9,449.0,420.0,182.0,175.0,306.0
10,449.0,420.0,183.0,175.0,306.0
11,449.0,420.0,182.0,176.0,306.0
12,450.0,420.0,182.0,172.0,306.0
13,449.0,420.0,182.0,172.0,305.0
14,448.0,420.0,182.0,172.0,305.0
15,448.0,420.0,182.0,172.0,305.0
16,448.0,421.0,183.0,172.0,306.0
17,447.0,421.0,182.0,171.0,305.0
18,447.0,420.0,182.0,170.0,304.0
19,446.0,420.0,182.0,171.0,304.0
20,447.0,420.0,182.0,171.0,305.0
21,446.0,421.0,182.0,170.0,304.0
22,446.0,420.0,181.0,170.0,304.0
23,445.0,421.0,181.0,171.0,304.0
24,446.0,421.0,181.0,170.0,304.0
25,445.0,420.0,182.0,170.0,304.0
26,446.0,421.0,182.0,170.0,304.0
27,445.0,420.0,183.0,170.0,304.0
28,447.0,421.0,183.0,170.0,305.0
29,446.0,420.0,182.0,170.0,304.0
30,446.0,420.0,182.0,169.0,304.0
31,446.0,420.0,182.0,170.0,304.0
32,446.0,420.0,182.0,170.0,304.0
33,446.0,419.0,183.0,170.0,304.0
34,446.0,420.0,181.0,169.0,304.0
35,446.0,420.0,182.0,168.0,304.0
36,445.0,419.0,181.0,169.0,303.0
37,445.0,419.0,181.0,169.0,303.0
38,445.0,419.0,182.0,169.0,303.0
39,444.0,419.0,183.0,170.0,304.0
40,445.0,419.0,183.0,170.0,304.0
41,445.0,419.0,183.0,170.0,304.0
42,444.0,419.0,182.0,169.0,303.0
43,444.0,419.0,182.0,169.0,303.0
44,444.0,419.0,182.0,170.0,303.0
45,443.0,419.0,182.0,170.0,303.0
46,443.0,419.0,182.0,170.0,303.0
47,443.0,419.0,182.0,169.0,303.0
48,443.0,419.0,181.0,170.0,303.0
49,443.0,419.0,181.0,170.0,303.0
50,443.0,419.0,181.0,170.0,303.0
51,443.0,419.0,182.0,169.0,303.0
52,443.0,419.0,181.0,170.0,303.0
53,443.0,419.0,181.0,170.0,303.0
54,443.0,419.0,181.0,170.0,303.0
55,443.0,419.0,180.0,169.0,302.0
56,444.0,419.0,181.0,169.0,303.0
57,444.0,419.0,181.0,168.0,303.0
58,443.0,419.0,181.0,167.0,302.0
59,444.0,418.0,181.0,168.0,302.0
60,444.0,418.0,181.0,167.0,302.0
61,444.0,418.0,181.0,168.0,302.0
62,445.0,419.0,182.0,168.0,303.0
63,444.0,418.0,182.0,168.0,303.0
64,443.0,418.0,181.0,167.0,302.0
65,444.0,418.0,181.0,167.0,302.0
66,443.0,417.0,181.0,168.0,302.0
