,S0,S1,S2,S3,AVG
0,282.0,324.0,345.0,117.0,267.0
1,281.0,324.0,344.0,117.0,266.0
2,282.0,324.0,345.0,117.0,267.0
3,282.0,324.0,345.0,117.0,267.0
4,282.0,324.0,345.0,117.0,267.0
5,282.0,324.0,345.0,117.0,267.0
6,282.0,324.0,345.0,117.0,267.0
7,282.0,324.0,345.0,117.0,267.0
8,282.0,324.0,344.0,116.0,266.0
9,282.0,324.0,344.0,116.0,266.0
10,283.0,324.0,345.0,117.0,267.0
11,282.0,324.0,344.0,116.0,266.0
12,282.0,324.0,344.0,117.0,266.0
13,283.0,323.0,344.0,116.0,266.0
14,283.0,324.0,344.0,116.0,266.0
15,282.0,323.0,344.0,116.0,266.0
16,283.0,324.0,344.0,116.0,266.0
17,282.0,323.0,344.0,116.0,266.0
18,282.0,323.0,345.0,116.0,266.0
19,283.0,324.0,344.0,116.0,266.0
20,283.0,324.0,344.0,116.0,266.0
21,283.0,323.0,344.0,116.0,266.0
22,283.0,323.0,344.0,116.0,266.0
23,283.0,323.0,344.0,116.0,266.0
24,283.0,323.0,344.0,116.0,266.0
25,283.0,323.0,345.0,116.0,266.0
26,283.0,323.0,344.0,115.0,266.0
27,283.0,323.0,345.0,116.0,266.0
28,283.0,323.0,344.0,116.0,266.0
29,283.0,323.0,344.0,115.0,266.0
30,284.0,323.0,347.0,116.0,267.0
31,284.0,324.0,346.0,116.0,267.0
32,284.0,324.0,347.0,116.0,267.0
33,284.0,324.0,346.0,117.0,267.0
34,285.0,324.0,346.0,117.0,268.0
35,284.0,324.0,344.0,116.0,267.0
36,283.0,323.0,344.0,116.0,266.0
37,283.0,323.0,344.0,116.0,266.0
38,283.0,324.0,344.0,116.0,266.0
39,284.0,324.0,346.0,116.0,267.0
40,283.0,323.0,344.0,116.0,266.0
41,283.0,323.0,345.0,116.0,266.0
42,283.0,323.0,344.0,116.0,266.0
43,283.0,323.0,345.0,116.0,266.0
44,283.0,323.0,344.0,116.0,266.0
45,283.0,323.0,345.0,116.0,266.0
46,283.0,325.0,345.0,116.0,267.0
47,283.0,322.0,344.0,116.0,266.0
48,283.0,323.0,344.0,116.0,266.0
49,283.0,323.0,345.0,116.0,266.0
50,283.0,323.0,345.0,116.0,266.0
51,283.0,323.0,345.0,116.0,266.0
52,283.0,323.0,345.0,116.0,266.0
53,283.0,323.0,346.0,115.0,266.0
