,S0,S1,S2,S3,AVG
0,721.0,758.0,744.0,777.0,750.0
1,722.0,758.0,744.0,777.0,750.0
2,722.0,758.0,744.0,777.0,750.0
3,722.0,758.0,744.0,776.0,750.0
4,722.0,758.0,744.0,776.0,750.0
5,722.0,758.0,744.0,777.0,750.0
6,722.0,758.0,744.0,776.0,750.0
7,722.0,758.0,744.0,777.0,750.0
8,722.0,758.0,746.0,777.0,750.0
9,722.0,758.0,746.0,777.0,750.0
10,722.0,758.0,746.0,776.0,750.0
11,721.0,758.0,746.0,776.0,750.0
12,722.0,758.0,745.0,777.0,750.0
13,722.0,757.0,745.0,776.0,750.0
14,721.0,757.0,745.0,776.0,749.0
15,721.0,757.0,745.0,776.0,749.0
16,722.0,757.0,745.0,776.0,750.0
17,721.0,757.0,745.0,776.0,749.0
18,721.0,757.0,745.0,776.0,749.0
19,721.0,757.0,745.0,776.0,749.0
20,721.0,757.0,745.0,776.0,749.0
21,721.0,757.0,745.0,777.0,750.0
22,721.0,757.0,745.0,776.0,749.0
23,721.0,757.0,745.0,776.0,749.0
24,721.0,757.0,745.0,777.0,750.0
25,721.0,757.0,745.0,776.0,749.0
26,721.0,757.0,745.0,776.0,749.0
27,721.0,758.0,745.0,776.0,750.0
28,721.0,757.0,745.0,776.0,749.0
29,721.0,757.0,745.0,776.0,749.0
30,721.0,757.0,744.0,776.0,749.0
31,721.0,757.0,745.0,776.0,749.0
32,720.0,757.0,744.0,776.0,749.0
33,720.0,758.0,744.0,776.0,749.0
34,720.0,758.0,744.0,776.0,749.0
35,720.0,758.0,744.0,776.0,749.0
36,721.0,758.0,744.0,776.0,749.0
37,720.0,758.0,744.0,776.0,749.0
38,720.0,758.0,745.0,776.0,749.0
39,720.0,758.0,744.0,776.0,749.0
40,720.0,757.0,744.0,776.0,749.0
41,720.0,757.0,745.0,776.0,749.0
42,720.0,758.0,744.0,776.0,749.0
43,720.0,757.0,745.0,776.0,749.0
44,720.0,758.0,745.0,776.0,749.0
45,721.0,758.0,745.0,776.0,750.0
46,720.0,758.0,745.0,776.0,749.0
47,720.0,758.0,745.0,776.0,749.0
48,720.0,758.0,744.0,776.0,749.0
49,720.0,758.0,744.0,776.0,749.0
50,721.0,758.0,744.0,776.0,749.0
51,720.0,758.0,744.0,776.0,749.0
52,720.0,757.0,744.0,776.0,749.0
53,721.0,758.0,745.0,776.0,750.0
54,721.0,758.0,745.0,776.0,750.0
55,721.0,758.0,745.0,776.0,750.0
56,721.0,758.0,745.0,776.0,750.0
57,721.0,758.0,745.0,776.0,750.0
58,721.0,758.0,745.0,776.0,750.0
59,721.0,758.0,745.0,776.0,750.0
60,721.0,758.0,745.0,776.0,750.0
61,721.0,758.0,745.0,776.0,750.0
62,721.0,758.0,744.0,776.0,749.0
63,721.0,758.0,745.0,776.0,750.0
64,721.0,758.0,745.0,776.0,750.0
65,721.0,758.0,744.0,776.0,749.0
66,720.0,757.0,744.0,776.0,749.0
67,720.0,757.0,744.0,776.0,749.0
68,720.0,757.0,744.0,777.0,749.0
69,720.0,758.0,744.0,777.0,749.0
70,721.0,758.0,745.0,777.0,750.0
71,721.0,758.0,745.0,776.0,750.0
72,720.0,758.0,745.0,776.0,749.0
73,720.0,758.0,745.0,776.0,749.0
74,721.0,758.0,745.0,776.0,750.0
75,720.0,758.0,744.0,776.0,749.0
76,720.0,758.0,745.0,776.0,749.0
77,720.0,758.0,745.0,776.0,749.0
78,720.0,758.0,744.0,777.0,749.0
79,720.0,758.0,744.0,776.0,749.0
80,720.0,758.0,745.0,776.0,749.0
81,720.0,758.0,744.0,776.0,749.0
82,720.0,758.0,745.0,776.0,749.0
83,720.0,758.0,745.0,776.0,749.0
84,720.0,758.0,745.0,777.0,750.0
85,720.0,758.0,745.0,777.0,750.0
86,720.0,758.0,745.0,777.0,750.0
87,720.0,758.0,745.0,777.0,750.0
88,720.0,758.0,745.0,777.0,750.0
89,720.0,758.0,745.0,777.0,750.0
90,720.0,758.0,745.0,777.0,750.0
91,720.0,758.0,745.0,776.0,749.0
92,720.0,758.0,745.0,777.0,750.0
93,720.0,757.0,745.0,776.0,749.0
94,720.0,758.0,744.0,776.0,749.0
95,720.0,758.0,745.0,776.0,749.0
96,720.0,758.0,745.0,776.0,749.0
97,720.0,758.0,745.0,777.0,750.0
98,720.0,758.0,745.0,776.0,749.0
99,720.0,758.0,745.0,776.0,749.0
100,720.0,758.0,745.0,776.0,749.0
101,720.0,758.0,744.0,776.0,749.0
102,720.0,758.0,745.0,777.0,750.0
103,720.0,758.0,745.0,776.0,749.0
104,720.0,758.0,745.0,777.0,750.0
105,720.0,758.0,745.0,777.0,750.0
106,720.0,758.0,745.0,777.0,750.0
107,720.0,758.0,745.0,777.0,750.0
108,721.0,758.0,745.0,777.0,750.0
109,720.0,758.0,745.0,777.0,750.0
110,721.0,758.0,745.0,776.0,750.0
111,721.0,758.0,746.0,777.0,750.0
112,721.0,758.0,745.0,777.0,750.0
113,721.0,758.0,745.0,777.0,750.0
114,720.0,758.0,745.0,777.0,750.0
115,720.0,758.0,745.0,777.0,750.0
116,721.0,758.0,745.0,776.0,750.0
117,721.0,758.0,745.0,776.0,750.0
118,720.0,758.0,745.0,776.0,749.0
119,720.0,758.0,746.0,776.0,750.0
120,721.0,758.0,745.0,776.0,750.0
121,720.0,758.0,746.0,777.0,750.0
122,720.0,758.0,745.0,777.0,750.0
123,721.0,758.0,746.0,777.0,750.0
124,720.0,758.0,745.0,777.0,750.0
125,720.0,758.0,745.0,777.0,750.0
126,721.0,758.0,745.0,777.0,750.0
127,721.0,758.0,745.0,777.0,750.0
128,720.0,758.0,745.0,776.0,749.0
129,720.0,758.0,744.0,777.0,749.0
130,721.0,758.0,745.0,776.0,750.0
131,720.0,758.0,745.0,777.0,750.0
132,720.0,758.0,745.0,777.0,750.0
133,721.0,758.0,745.0,777.0,750.0
134,720.0,758.0,745.0,777.0,750.0
135,721.0,758.0,745.0,777.0,750.0
136,720.0,758.0,745.0,777.0,750.0
137,720.0,758.0,745.0,777.0,750.0
138,720.0,758.0,745.0,777.0,750.0
139,720.0,758.0,744.0,776.0,749.0
140,720.0,758.0,744.0,776.0,749.0
141,720.0,758.0,745.0,776.0,749.0
142,720.0,758.0,744.0,777.0,749.0
143,720.0,758.0,744.0,776.0,749.0
144,720.0,758.0,744.0,777.0,749.0
145,720.0,758.0,744.0,777.0,749.0
146,720.0,758.0,744.0,776.0,749.0
147,720.0,758.0,744.0,777.0,749.0
148,721.0,758.0,744.0,777.0,750.0
149,721.0,758.0,744.0,777.0,750.0
150,721.0,758.0,745.0,777.0,750.0
151,721.0,758.0,745.0,777.0,750.0
152,721.0,758.0,745.0,777.0,750.0
153,721.0,758.0,745.0,777.0,750.0
154,721.0,758.0,745.0,777.0,750.0
155,721.0,758.0,745.0,777.0,750.0
156,721.0,758.0,744.0,777.0,750.0
157,721.0,758.0,744.0,777.0,750.0
158,721.0,758.0,745.0,777.0,750.0
159,721.0,758.0,745.0,777.0,750.0
160,721.0,758.0,745.0,777.0,750.0
161,721.0,758.0,744.0,777.0,750.0
162,721.0,758.0,744.0,777.0,750.0
163,721.0,758.0,744.0,777.0,750.0
164,721.0,758.0,744.0,777.0,750.0
165,721.0,758.0,744.0,777.0,750.0
166,720.0,758.0,744.0,776.0,749.0
167,721.0,758.0,744.0,777.0,750.0
168,720.0,758.0,744.0,776.0,749.0
169,721.0,758.0,744.0,777.0,750.0
170,721.0,758.0,744.0,776.0,749.0
171,721.0,758.0,744.0,777.0,750.0
172,721.0,758.0,744.0,776.0,749.0
173,720.0,758.0,744.0,776.0,749.0
174,721.0,758.0,744.0,776.0,749.0
175,721.0,758.0,744.0,777.0,750.0
176,721.0,758.0,744.0,777.0,750.0
177,721.0,758.0,744.0,777.0,750.0
178,721.0,758.0,744.0,777.0,750.0
179,721.0,758.0,744.0,776.0,749.0
180,720.0,758.0,744.0,776.0,749.0
181,721.0,758.0,744.0,776.0,749.0
182,721.0,758.0,744.0,777.0,750.0
183,721.0,758.0,744.0,777.0,750.0
184,721.0,758.0,744.0,777.0,750.0
185,721.0,758.0,744.0,776.0,749.0
186,721.0,758.0,744.0,777.0,750.0
187,721.0,758.0,744.0,776.0,749.0
188,721.0,758.0,744.0,776.0,749.0
189,721.0,758.0,744.0,776.0,749.0
190,721.0,758.0,744.0,777.0,750.0
191,721.0,758.0,744.0,777.0,750.0
192,721.0,758.0,744.0,777.0,750.0
193,721.0,758.0,744.0,777.0,750.0
194,721.0,758.0,744.0,777.0,750.0
195,721.0,758.0,744.0,776.0,749.0
196,720.0,758.0,744.0,776.0,749.0
197,721.0,758.0,744.0,776.0,749.0
198,721.0,758.0,744.0,776.0,749.0
199,721.0,758.0,744.0,777.0,750.0
200,720.0,758.0,744.0,776.0,749.0
201,720.0,758.0,744.0,776.0,749.0
