,S0,S1,S2,S3,AVG
0,98.0,323.0,452.0,163.0,259.0
1,98.0,324.0,452.0,164.0,259.0
2,99.0,325.0,452.0,163.0,259.0
3,99.0,326.0,452.0,163.0,260.0
4,99.0,327.0,452.0,163.0,260.0
5,99.0,338.0,452.0,161.0,262.0
6,99.0,335.0,451.0,160.0,261.0
7,99.0,309.0,451.0,163.0,255.0
8,97.0,314.0,449.0,170.0,257.0
9,97.0,321.0,449.0,179.0,261.0
10,95.0,329.0,448.0,182.0,263.0
11,96.0,325.0,449.0,177.0,261.0
12,96.0,314.0,449.0,172.0,257.0
13,97.0,321.0,448.0,170.0,259.0
14,96.0,320.0,448.0,174.0,259.0
15,96.0,324.0,446.0,183.0,262.0
16,96.0,326.0,444.0,184.0,262.0
17,96.0,323.0,445.0,178.0,260.0
18,96.0,293.0,444.0,174.0,251.0
19,96.0,291.0,444.0,175.0,251.0
20,96.0,291.0,443.0,181.0,252.0
21,95.0,291.0,444.0,186.0,254.0
22,95.0,291.0,446.0,185.0,254.0
23,95.0,290.0,447.0,183.0,253.0
24,95.0,290.0,446.0,183.0,253.0
25,95.0,290.0,445.0,187.0,254.0
26,95.0,290.0,446.0,188.0,254.0
27,95.0,290.0,448.0,186.0,254.0
28,95.0,290.0,449.0,183.0,254.0
29,95.0,290.0,449.0,181.0,253.0
30,95.0,290.0,449.0,182.0,254.0
31,95.0,291.0,448.0,184.0,254.0
32,95.0,291.0,447.0,186.0,254.0
33,94.0,291.0,447.0,185.0,254.0
34,95.0,291.0,449.0,182.0,254.0
35,95.0,291.0,450.0,176.0,253.0
36,96.0,292.0,449.0,173.0,252.0
37,96.0,293.0,449.0,175.0,253.0
38,95.0,294.0,449.0,177.0,253.0
39,96.0,293.0,446.0,175.0,252.0
40,95.0,293.0,446.0,169.0,250.0
41,96.0,294.0,448.0,165.0,250.0
42,96.0,296.0,448.0,166.0,251.0
43,96.0,297.0,446.0,170.0,252.0
44,96.0,296.0,444.0,174.0,252.0
45,96.0,297.0,443.0,174.0,252.0
46,96.0,296.0,443.0,170.0,251.0
47,97.0,296.0,444.0,166.0,250.0
48,96.0,295.0,445.0,165.0,250.0
49,97.0,296.0,446.0,168.0,251.0
50,97.0,297.0,446.0,170.0,252.0
51,96.0,296.0,444.0,172.0,252.0
52,97.0,295.0,443.0,170.0,251.0
53,96.0,294.0,442.0,168.0,250.0
54,96.0,295.0,443.0,168.0,250.0
55,97.0,294.0,443.0,170.0,251.0
56,96.0,295.0,444.0,172.0,251.0
57,97.0,295.0,443.0,173.0,252.0
58,97.0,295.0,441.0,172.0,251.0
59,97.0,295.0,441.0,170.0,250.0
60,97.0,295.0,441.0,171.0,251.0
61,98.0,295.0,442.0,175.0,252.0
62,97.0,295.0,442.0,178.0,253.0
63,96.0,296.0,441.0,178.0,252.0
64,97.0,295.0,443.0,176.0,252.0
65,98.0,295.0,442.0,175.0,252.0
66,98.0,295.0,442.0,176.0,252.0
67,99.0,296.0,443.0,177.0,253.0
68,98.0,295.0,443.0,178.0,253.0
69,98.0,295.0,443.0,178.0,253.0
70,97.0,295.0,442.0,180.0,253.0
71,98.0,296.0,442.0,180.0,254.0
72,100.0,295.0,443.0,178.0,254.0
73,102.0,295.0,443.0,178.0,254.0
74,101.0,295.0,443.0,179.0,254.0
75,101.0,295.0,443.0,178.0,254.0
76,100.0,295.0,444.0,177.0,254.0
77,102.0,295.0,444.0,176.0,254.0
78,101.0,295.0,444.0,179.0,254.0
79,102.0,295.0,444.0,179.0,255.0
80,103.0,295.0,445.0,177.0,255.0
81,103.0,295.0,446.0,174.0,254.0
82,103.0,295.0,447.0,175.0,255.0
83,99.0,296.0,446.0,178.0,254.0
84,99.0,296.0,445.0,179.0,254.0
85,98.0,296.0,444.0,178.0,254.0
86,99.0,295.0,445.0,174.0,253.0
87,100.0,295.0,446.0,172.0,253.0
88,99.0,295.0,445.0,175.0,253.0
89,99.0,296.0,444.0,178.0,254.0
90,99.0,296.0,444.0,180.0,254.0
91,100.0,296.0,444.0,180.0,255.0
92,99.0,296.0,444.0,178.0,254.0
93,99.0,295.0,444.0,176.0,253.0
94,100.0,296.0,444.0,177.0,254.0
95,99.0,296.0,444.0,179.0,254.0
96,99.0,296.0,443.0,184.0,255.0
97,98.0,297.0,442.0,185.0,255.0
98,99.0,296.0,442.0,182.0,254.0
99,99.0,296.0,442.0,179.0,254.0
